renderer,shape,duration,count
canvas,Circle,0.8000000000465661,10
canvas,Rect,0.20000000018626451,10
canvas,Text,6.600000000093132,10
svg,Circle,1,10
svg,Rect,0.19999999995343387,10
svg,Text,0.5,10
g,Circle,3.8999999999068677,10
g,Rect,2,10
g,Text,12.800000000046566,10
g-4.0,Circle,1.1000000000931323,10
g-4.0,Rect,0.6000000000931323,10
g-4.0,Text,5.099999999860302,10
canvas,Circle,0.19999999995343387,100
canvas,Rect,0.6000000000931323,100
canvas,Text,4.300000000046566,100
svg,Circle,0,100
svg,Rect,0.19999999995343387,100
svg,Text,0.09999999986030161,100
g,Circle,2,100
g,Rect,2,100
g,Text,9.800000000046566,100
g-4.0,Circle,0.5,100
g-4.0,Rect,0.4000000001396984,100
g-4.0,Text,4.899999999906868,100
canvas,Circle,0.09999999986030161,1000
canvas,Rect,0.19999999995343387,1000
canvas,Text,4.199999999953434,1000
svg,Circle,0.10000000009313226,1000
svg,Rect,0,1000
svg,Text,0,1000
g,Circle,2.800000000046566,1000
g,Rect,6,1000
g,Text,4.400000000139698,1000
g-4.0,Circle,3.3999999999068677,1000
g-4.0,Rect,0.5,1000
g-4.0,Text,0.7000000001862645,1000
canvas,Circle,0.19999999995343387,10000
canvas,Rect,0.19999999995343387,10000
canvas,Text,3.1000000000931323,10000
svg,Circle,0.19999999995343387,10000
svg,Rect,0.19999999995343387,10000
svg,Text,0.20000000018626451,10000
g,Circle,3.9000000001396984,10000
g,Rect,31.600000000093132,10000
g,Text,31.100000000093132,10000
g-4.0,Circle,0.6000000000931323,10000
g-4.0,Rect,0.30000000004656613,10000
g-4.0,Text,0.5999999998603016,10000
canvas,Circle,0.5,100000
canvas,Rect,0.39999999990686774,100000
canvas,Text,11.199999999953434,100000
svg,Circle,0.30000000004656613,100000
svg,Rect,0.10000000009313226,100000
svg,Text,0.19999999995343387,100000
g,Circle,11.600000000093132,100000
g,Rect,885.8999999999069,100000
g,Text,883.4000000001397,100000
g-4.0,Circle,8.600000000093132,100000
g-4.0,Rect,0.4000000001396984,100000
g-4.0,Text,8.399999999906868,100000
